N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"62,400",500,+0.81%,100,"3,725,144","5,969,783",49.92,"12,207,263",9.46,13.92,
2,LG에너지솔루션,"596,000","8,000",-1.32%,500,"1,394,640","234,000",5.01,"376,059",990.03,10.68,
3,SK하이닉스,"91,600",700,+0.77%,"5,000","666,850","728,002",51.06,"2,449,748",5.81,16.84,
4,삼성바이오로직스,"906,000","5,000",+0.55%,"2,500","644,836","71,174",10.84,"39,187",120.49,8.21,
5,LG화학,"710,000","16,000",-2.20%,"5,000","501,206","70,592",48.36,"314,475",25.03,18.47,
6,삼성SDI,"718,000","41,000",-5.40%,"5,000","493,729","68,765",47.11,"581,533",33.50,8.45,
7,삼성전자우,"57,400",700,+1.23%,100,"472,337","822,887",71.71,"781,678",8.71,N/A,
8,현대차,"174,500","1,500",-0.85%,"5,000","372,851","213,668",29.11,"834,941",7.74,6.84,
9,NAVER,"192,000","3,500",+1.86%,100,"314,974","164,049",49.11,"883,486",31.32,106.72,
10,기아,"68,500","1,400",-2.00%,"5,000","277,674","405,363",36.68,"1,816,982",5.24,14.69,
11,셀트리온,"188,000","3,000",+1.62%,"1,000","264,714","140,805",21.58,"398,496",47.04,16.04,
12,카카오,"58,700",200,+0.34%,100,"261,412","445,336",27.00,"2,338,155",11.74,17.10,
13,POSCO홀딩스,"291,500","3,000",-1.02%,"5,000","246,525","84,571",52.05,"467,567",3.52,13.97,
14,삼성물산,"123,000",500,+0.41%,100,"229,871","186,887",16.69,"207,903",14.65,5.40,
15,현대모비스,"220,500","1,500",+0.68%,"5,000","207,899","94,285",36.36,"166,617",8.79,6.87,
16,KB금융,"49,600",50,-0.10%,"5,000","202,813","408,897",73.32,"773,055",4.38,9.80,
17,신한지주,"36,800",450,-1.21%,"5,000","188,760","512,934",61.59,"900,203",4.57,8.80,
18,포스코케미칼,"236,000","2,000",+0.85%,500,"182,813","77,463",8.48,"643,779",133.33,7.92,
19,SK이노베이션,"178,000","2,000",-1.11%,"5,000","164,589","92,466",25.99,"364,178",6.51,1.91,
20,SK,"219,000","3,000",-1.35%,200,"162,387","74,149",22.76,"131,234",4.92,10.19,
21,LG전자,"96,600","1,000",+1.05%,"5,000","158,084","163,648",26.38,"733,576",9.48,6.32,
22,카카오뱅크,"28,700",800,+2.87%,"5,000","136,794","476,634",13.10,"7,571,207",63.64,4.91,
23,LG,"85,100","1,300",+1.55%,"5,000","133,863","157,301",36.29,"165,718",5.85,12.36,
24,삼성생명,"66,900","1,100",-1.62%,500,"133,800","200,000",13.31,"165,959",18.33,4.01,
25,KT&G,"94,600","1,600",+1.72%,"5,000","129,879","137,292",43.53,"413,170",12.27,10.74,
26,고려아연,"634,000","3,000",+0.48%,"5,000","125,932","19,863",21.30,"64,175",14.04,11.07,
27,한국전력,"19,350",50,-0.26%,"5,000","124,220","641,964",14.34,"1,131,019",-0.80,-7.99,
28,하나금융지주,"40,950",300,-0.73%,"5,000","121,172","295,903",70.40,"559,339",3.50,10.86,
29,SK텔레콤,"50,100",0,0.00%,100,"109,635","218,833",46.34,"376,015",8.63,13.63,
30,두산에너빌리티,"16,950",50,+0.30%,"5,000","108,193","638,308",11.31,"4,626,333",127.44,10.67,
31,크래프톤,"220,000","4,500",-2.00%,100,"107,958","49,072",29.86,"169,817",17.09,17.86,
32,삼성전기,"143,000","3,000",+2.14%,"5,000","106,812","74,694",28.22,"437,772",10.76,14.29,
33,HMM,"21,600",300,+1.41%,"5,000","105,633","489,039",9.78,"1,523,965",0.92,88.62,
34,LG생활건강,"672,000","20,000",+3.07%,"5,000","104,954","15,618",36.82,"80,925",19.95,16.65,
35,현대중공업,"115,500",500,+0.43%,"5,000","102,533","88,773",5.92,"150,541",-13.88,-14.87,
36,엔씨소프트,"456,500","14,500",+3.28%,500,"100,220","21,954",43.16,"136,820",19.68,12.62,
37,삼성에스디에스,"129,000","1,000",+0.78%,500,"99,817","77,378",13.67,"69,332",13.12,8.80,
38,S-Oil,"87,500","2,300",-2.56%,"2,500","98,510","112,583",80.73,"485,062",4.07,21.76,
39,대한항공,"26,150",350,+1.36%,"5,000","96,290","368,221",16.09,"1,152,201",6.11,11.60,
40,KT,"36,450",250,-0.68%,"5,000","95,175","261,112",44.11,"614,618",6.62,9.36,
41,한화솔루션,"49,450",450,-0.90%,"5,000","94,587","191,278",24.47,"1,497,737",27.22,8.79,
42,삼성화재,"195,000","5,000",-2.50%,500,"92,381","47,375",50.25,"120,082",8.54,7.09,
43,우리금융지주,"11,950",50,+0.42%,"5,000","87,003","728,061",40.49,"1,422,250",2.97,10.59,
44,카카오페이,"64,600","1,900",+3.03%,500,"85,725","132,701",42.59,"3,191,930",-326.26,-2.45,
45,기업은행,"10,700",50,-0.47%,"5,000","79,640","744,301",13.60,"588,051",3.52,9.21,
46,LG이노텍,"324,000","8,000",+2.53%,"5,000","76,681","23,667",24.67,"245,510",7.96,30.94,
47,SK바이오사이언스,"99,800","5,500",+5.83%,500,"76,630","76,784",4.68,"585,094",22.86,38.08,
48,아모레퍼시픽,"127,000","6,000",+4.96%,500,"74,286","58,493",24.59,"399,349",104.35,4.20,
49,현대글로비스,"181,500",0,0.00%,500,"68,062","37,500",47.07,"53,626",6.57,14.41,
50,롯데케미칼,"190,500","3,000",+1.60%,"5,000","65,295","34,275",25.56,"247,361",12.71,9.87,
